text,label
"Apply through our official careers portal at company.com/careers. Shortlisted candidates will be contacted for interview rounds.",0
"This internship has screening and interview stages. No fees are required at any stage of recruitment.",0
"Please submit your application on the official website. HR will reach out from an official company email domain (@company.com).",0
"Selection process includes aptitude test and interview. Offer will be sent only after verification.",0
"Internship details: duration 8 weeks, stipend Rs.15000/month, mentorship included. Apply via the official link.",0
"We do not charge any registration or training fees. Beware of impersonation and report suspicious messages.",0
"Candidates will receive confirmation only through our careers page and official email communications.",0
"Shortlisting is based on resume screening. Next steps include technical interview and HR round.",0
"Offer letter will be issued after selection. Please verify the company domain before sharing personal information.",0
"Apply on LinkedIn company page or careers portal. Any payment request is not part of our process.",0
"Role: Data Analyst Intern. Responsibilities and timeline are described in the job post. Apply via official portal.",0
"We will never ask for OTP, bank details, or payment. Official communication comes from company email only.",0
"Internship start date depends on interview results. Please do not trust third-party payment links.",0
"Selected interns will be contacted via our official HR email. No WhatsApp-only communication policy.",0
"Application is free. Selection includes assignment review and interview discussion.",0
"Thank you for your interest in the Marketing Intern position. Please complete the online application form at careers.techcorp.com. Our team will review applications within 2 weeks.",0
"Dear Applicant, your resume has been shortlisted for the Software Engineering Internship. The next step is a coding assessment scheduled for next week. Details will be sent via email.",0
"Welcome to our internship program! The selection process includes: 1) Resume screening 2) Technical test 3) Two interview rounds 4) Final HR discussion. Timeline: 3-4 weeks.",0
"Internship Opportunity: Business Analyst role for 3 months. Stipend: Rs.12000/month. Work location: Bangalore office. Apply deadline: March 15th. Visit our website for more details.",0
"Congratulations on clearing the first round! Your second interview is scheduled for Monday at 2 PM. Please join the Google Meet link that will be sent from hr@companyname.com.",0
"We're looking for passionate interns in UI/UX Design. This is a paid internship (Rs.10000/month) with flexible work hours. Application process starts with portfolio submission.",0
"Our internship program runs for 6 months with performance-based conversion to full-time. No prior experience required but candidates must complete assigned projects and evaluations.",0
"Selected candidates will receive an official offer letter via email within 48 hours of final interview. Please verify sender domain matches our company website.",0
"Important: We never conduct interviews via WhatsApp or Telegram. All communications will be through official email and video conferencing platforms like Zoom or Meet.",0
