text,label
"URGENT! Only 2 slots left for Google internship. Pay Rs.5000 registration fee now to confirm your seat. No interview needed! 100% placement guaranteed.",1
"Congratulations! You are selected for Amazon internship without interview. Send Rs.3000 for training materials to this account immediately. Limited time offer!",1
"LAST CHANCE! Microsoft is hiring interns. Pay Rs.2500 registration fee today. Direct joining, no selection process. WhatsApp 9876543210 now!",1
"You won the internship lottery! Send Rs.4500 for certificate and ID card. Guaranteed monthly salary Rs.50000. Apply before midnight!",1
"Flipkart internship - Work from home, earn Rs.40000/month! Just pay Rs.3500 security deposit. Money refunded after 1 month. Hurry, slots filling fast!",1
"BREAKING: TCS mass hiring interns. No experience required, no interview. Pay Rs.6000 for online training access. Join within 24 hours or lose the opportunity!",1
"Congratulations! Your resume was auto-selected for Infosys internship. Transfer Rs.5500 to given UPI ID for immediate joining. 100% genuine opportunity!",1
"URGENT HIRING: Google India needs 500 interns ASAP. Send Rs.4000 registration + Rs.2000 verification fee. Get appointment letter instantly via email.",1
"Limited period offer! Accenture internship with Rs.60000 monthly stipend. One-time investment of Rs.7500 for training. No questions asked, direct selection!",1
"YOU ARE SELECTED! Deloitte internship confirmed. Pay Rs.3200 processing fee through PhonePe to hr.deloitte2024@gmail.com. Offer valid for 6 hours only!",1
"Instant selection for Wipro internship! Send Rs.5000 to personal bank account for profile verification. No interview, no test. Start tomorrow!",1
"FINAL CALL! Only 3 vacancies left for IBM internship. Payment required: Rs.4500. Get job guarantee letter immediately. Contact on WhatsApp only.",1
"Congratulations from Amazon HR! You're selected. Send OTP received on your phone + Rs.2500 security deposit to confirm joining. Very urgent!",1
"Special internship program by Apple India. Investment: Rs.8000 (includes laptop, training, certificate). Earn back in 1 week. 200% returns guaranteed!",1
"Government internship scheme 2024. Pay Rs.1500 application fee via Paytm. Get Rs.25000 monthly stipend. No interview, direct appointment. Last date today!",1
"MEGA OPPORTUNITY! Reliance Jio hiring 1000 interns. Pay Rs.3500 registration. Salary Rs.35000/month. Easy work from home. Limited slots, apply now!",1
"You won Rs.10 lakh internship package! Claim by paying Rs.5000 verification fee to claim agent. Your selection ID: WIN20241234. Valid till tonight!",1
"Urgent message from Google recruiter! Your profile shortlisted. Submit Rs.4200 for background verification via Google Pay to +91-9988776655.",1
